,程度级别词语（中文）,负面评价词语（中文）,负面情感词语（中文）,正面评价词语（中文）,正面情感词语（中文）,主张词语（中文）
毛糙,0,1,0,0,0,0
有学问,0,0,0,1,0,0
屈理,0,1,0,0,0,0
不平衡,0,1,0,0,0,0
轻蔑,0,0,1,0,0,0
欠周到,0,1,0,0,0,0
率直,0,0,0,1,0,0
有理由,0,0,0,1,0,0
神圣,0,0,0,1,0,0
平等,0,0,0,1,0,0
陶醉,0,0,0,0,1,0
不成功,0,1,0,0,0,0
芳香,0,0,0,1,0,0
鲁,0,1,0,0,0,0
一点儿,1,0,0,0,0,0
作为消遣,0,0,0,1,0,0
廉价,0,0,0,1,0,0
脆弱,0,1,0,0,0,0
牢固,0,0,0,1,0,0
可鄙,0,1,0,0,0,0
沉重,0,0,1,0,0,0
红脸,0,0,1,0,0,0
上相,0,0,0,1,0,0
怯阵,0,0,1,0,0,0
策略,0,1,0,0,0,0
善,0,0,0,1,0,0
可能,0,0,0,1,0,0
{regard|认为},0,0,0,0,0,1
模糊不清,0,1,0,0,0,0
唯恐,0,0,1,0,0,0
生杀予夺,0,0,0,1,0,0
来者不拒,0,0,0,1,0,0
繁华,0,0,0,1,0,0
窝心,0,0,1,0,0,0
觉得自己理亏,0,0,1,0,0,0
麻烦,0,1,0,0,0,0
怏然自足,0,0,0,0,1,0
狂,0,1,0,0,0,0
侃,0,0,0,1,0,0
新奇,0,0,0,1,0,0
灿烂,0,0,0,1,0,0
那么,1,0,0,0,0,0
合当,0,0,0,1,0,0
铺张,0,1,0,0,0,0
不善,0,1,0,0,0,0
投入,0,0,0,1,0,0
欣然,0,0,0,1,0,0
徼,0,0,0,0,1,0
极其流行,0,0,0,1,0,0
叩拜,0,0,0,0,1,0
令人厌倦,0,1,0,0,0,0
祝,0,0,0,0,1,0
恫,0,0,1,0,0,0
灰心,0,0,1,0,0,0
壮健,0,0,0,1,0,0
阴沉沉,0,1,0,0,0,0
风起云涌,0,0,0,1,0,0
大有裨益,0,0,0,1,0,0
交口称誉,0,0,0,0,1,0
自然,0,0,0,1,0,0
喷喷香,0,0,0,1,0,0
翘盼,0,0,0,0,1,0
激动人心,0,0,0,1,0,0
封闭型,0,1,0,0,0,0
钧,0,0,0,1,0,0
