,负面情感词语（中文）,正面情感词语（中文）,中性情感词语（中文）
满目疮痍,1.0,0.0,0.0
冷销,1.0,0.0,0.0
谒,0.0,1.0,0.0
烦,1.0,0.0,0.0
浪荡,1.0,0.0,0.0
殊,0.0,1.0,0.0
效率很差,1.0,0.0,0.0
伪善,1.0,0.0,0.0
痛责,1.0,0.0,0.0
好过,0.0,1.0,0.0
错误百出,1.0,0.0,0.0
训戒,1.0,0.0,0.0
不争,0.0,1.0,0.0
自由,0.0,1.0,0.0
如虎添翼,0.0,1.0,0.0
名正言顺,0.0,1.0,0.0
无涵养,1.0,0.0,0.0
烦闷,1.0,0.0,0.0
笔直,0.0,1.0,0.0
怯然,1.0,0.0,0.0
发火,1.0,0.0,0.0
识趣,0.0,1.0,0.0
直爽,0.0,1.0,0.0
辣手,1.0,0.0,0.0
殷富,0.0,1.0,0.0
不无道理,0.0,1.0,0.0
油,1.0,0.0,0.0
缈,1.0,0.0,0.0
诚挚,0.0,1.0,0.0
目光远大,0.0,1.0,0.0
穷酸,1.0,0.0,0.0
盲目,1.0,0.0,0.0
遴,1.0,0.0,0.0
亵,1.0,0.0,0.0
精神十足,0.0,1.0,0.0
豁然,0.0,1.0,0.0
令人毛骨悚然,1.0,0.0,0.0
不名誉,1.0,0.0,0.0
以怨报德,1.0,0.0,0.0
小儿科,1.0,0.0,0.0
苞,0.0,1.0,0.0
稀里糊涂,1.0,0.0,0.0
姹,0.0,1.0,0.0
闹闹哄哄,1.0,0.0,0.0
起敬,0.0,1.0,0.0
雍容,0.0,1.0,0.0
上,0.0,1.0,0.0
簇新,0.0,1.0,0.0
否定,1.0,0.0,0.0
睁一眼闭一眼,1.0,0.0,0.0
暗下,1.0,0.0,0.0
不现实,1.0,0.0,0.0
威风,0.0,1.0,0.0
纯挚,0.0,1.0,0.0
背静,1.0,0.0,0.0
显然,0.0,1.0,0.0
明晰,0.0,1.0,0.0
如醉如痴,0.0,1.0,0.0
沾沾自喜,0.0,1.0,0.0
窒闷,1.0,0.0,0.0
芊,0.0,1.0,0.0
憋着一肚子气,1.0,0.0,0.0
有用,0.0,1.0,0.0
索然寡味,1.0,0.0,0.0
热血,0.0,1.0,0.0
卑下,1.0,0.0,0.0
惟利是图,1.0,0.0,0.0
狠狠,0.0,1.0,0.0
根本,0.0,1.0,0.0
过气,1.0,0.0,0.0
没味,1.0,0.0,0.0
怔怔,1.0,0.0,0.0
默认,0.0,1.0,0.0
秽恶,1.0,0.0,0.0
屏声息气,0.0,1.0,0.0
灼灼,0.0,1.0,0.0
谙练,0.0,1.0,0.0
散,1.0,0.0,0.0
所谓,1.0,0.0,0.0
寒伧,1.0,0.0,0.0
遐迩闻名,0.0,1.0,0.0
熊腰虎背,0.0,1.0,0.0
壮健,0.0,1.0,0.0
眇,0.0,1.0,0.0
流畅,0.0,1.0,0.0
亲切友好,0.0,1.0,0.0
玮,0.0,1.0,0.0
糟心,1.0,0.0,0.0
傻眼,1.0,0.0,0.0
闻风丧胆,1.0,0.0,0.0
荏弱,1.0,0.0,0.0
睿智,0.0,1.0,0.0
过河拆桥,1.0,0.0,0.0
显,0.0,1.0,0.0
深重,1.0,0.0,0.0
一字不差地,0.0,1.0,0.0
颂扬,0.0,1.0,0.0
徒,1.0,0.0,0.0
十分重要,0.0,1.0,0.0
乌灯黑火,1.0,0.0,0.0
表里不一,1.0,0.0,0.0
炫目,0.0,1.0,0.0
细小,1.0,0.0,1.0
果敢,0.0,1.0,0.0
穷困,1.0,0.0,0.0
一专多能,0.0,1.0,0.0
有头无尾,1.0,0.0,0.0
烦厌,1.0,0.0,0.0
腐败,1.0,0.0,0.0
干练,0.0,1.0,0.0
叩首,0.0,1.0,0.0
强制,1.0,0.0,0.0
开通,0.0,1.0,0.0
乐善好施,0.0,1.0,0.0
粗疏,1.0,0.0,0.0
恭谨,0.0,1.0,0.0
彬,0.0,1.0,0.0
赘余,1.0,0.0,0.0
良善,0.0,1.0,0.0
言语流利,0.0,1.0,0.0
迟疑不决,1.0,0.0,0.0
内秀,0.0,1.0,0.0
